game_id,league_id,team_id_home,team_abbreviation_home,team_city_home,pts_paint_home,pts_2nd_chance_home,pts_fb_home,largest_lead_home,lead_changes,times_tied,team_turnovers_home,total_turnovers_home,team_rebounds_home,pts_off_to_home,team_id_away,team_abbreviation_away,team_city_away,pts_paint_away,pts_2nd_chance_away,pts_fb_away,largest_lead_away,team_turnovers_away,total_turnovers_away,team_rebounds_away,pts_off_to_away
0029600392,00,1610612763,VAN,Vancouver,36,14,13,0,0,2,1.0,17.0,7.0,,1610612758,SAC,Sacramento,60,24,17,28,0.0,16.0,7.0,
0029600387,00,1610612745,HOU,Houston,46,2,12,17,0,0,1.0,19.0,6.0,,1610612749,MIL,Milwaukee,30,6,13,0,0.0,16.0,8.0,
0029600390,00,1610612755,PHI,Philadelphia,56,10,14,30,6,1,0.0,12.0,6.0,,1610612743,DEN,Denver,48,15,12,1,0.0,23.0,7.0,
0029600383,00,1610612753,ORL,Orlando,22,13,5,1,4,1,1.0,14.0,8.0,,1610612748,MIA,Miami,52,10,23,22,1.0,15.0,5.0,
0029600391,00,1610612757,POR,Portland,32,12,6,19,6,6,2.0,22.0,8.0,,1610612762,UTA,Utah,38,10,14,5,0.0,16.0,10.0,
0029600384,00,1610612741,CHI,Chicago,34,27,8,3,12,14,0.0,11.0,9.0,,1610612737,ATL,Atlanta,32,24,0,9,1.0,12.0,7.0,
0029600386,00,1610612754,IND,Indiana,34,11,6,8,8,14,1.0,19.0,10.0,,1610612765,DET,Detroit,38,11,9,8,0.0,7.0,8.0,
0029600393,00,1610612760,SEA,Seattle,34,15,4,13,0,0,1.0,18.0,10.0,,1610612759,SAS,San Antonio,38,6,14,0,0.0,14.0,5.0,
0029600396,00,1610612766,CHH,Charlotte,44,11,6,0,0,0,2.0,14.0,11.0,,1610612748,MIA,Miami,26,18,6,18,1.0,12.0,6.0,
0029600399,00,1610612738,BOS,Boston,54,18,20,10,10,6,0.0,16.0,9.0,,1610612747,LAL,Los Angeles,44,23,12,11,0.0,15.0,17.0,
0029600397,00,1610612739,CLE,Cleveland,30,4,10,8,10,2,0.0,13.0,4.0,,1610612749,MIL,Milwaukee,36,2,6,11,1.0,14.0,5.0,
0029600395,00,1610612764,WAS,Washington,56,19,24,22,6,3,0.0,12.0,10.0,,1610612761,TOR,Toronto,28,5,8,8,1.0,20.0,5.0,
0029600394,00,1610612751,NJN,New Jersey,40,17,10,11,4,9,1.0,16.0,7.0,,1610612754,IND,Indiana,36,13,32,2,2.0,20.0,12.0,
0029600400,00,1610612753,ORL,Orlando,28,6,6,2,5,4,2.0,18.0,11.0,,1610612752,NYK,New York,40,15,7,18,1.0,20.0,7.0,
